EbN0dB ANY ListError ListError_rate ListError_ci_wilson ListError_ci_wilson_rel MLError MLError_rate MLError_ci_wilson MLError_ci_wilson_rel PMError PMError_rate PMError_ci_wilson PMError_ci_wilson_rel
1.0 192000 5514 0.02871875 0.0007471210504730203 0.026015096425611152 3027 0.015765625 0.0005572776381662722 0.03534764008190429 8915 0.04643229166666667 0.0009412546299559344 0.02027155232210201
1.25 192000 3232 0.016833333333333332 0.0005755207985900564 0.03418935437168652 1670 0.008697916666666666 0.00041546394119196587 0.047765914196920625 5336 0.027791666666666666 0.0007353158545190253 0.02645814169183899
1.5 192000 1798 0.009364583333333334 0.00043093818294311916 0.04601787048113397 864 0.0045 0.000299547698900085 0.06656615531113 2964 0.0154375 0.0005515416955838838 0.035727397284785994
1.75 192000 945 0.004921875 0.0003131931907920584 0.06363290225616425 433 0.0022552083333333335 0.0002124134557777913 0.09418795267745017 1586 0.008260416666666666 0.0004049758414799339 0.04902607917033248
2.0 384000 933 0.0024296875 0.00015579626269741556 0.06412193448639611 380 0.0009895833333333334 9.95740037338307e-5 0.10062215114155523 1588 0.004135416666666667 0.0002030381875468519 0.04909739547732439
2.25 960000 967 0.0010072916666666668 6.34882376784875e-5 0.0630286537449307 379 0.00039479166666666666 3.9789340461513956e-5 0.10078566449354459 1648 0.0017166666666666667 8.283527935610224e-5 0.04825356078996247
2.5 2112000 875 0.00041429924242424244 2.7460833835741022e-5 0.06628260692695433 374 0.00017708333333333335 1.7968660838891497e-5 0.10147008473726962 1591 0.000753314393939394 3.7013823929605606e-5 0.049134629880155274
2.75 5184000 838 0.00016165123456790122 1.0950310222532282e-5 0.06774034390645269 359 6.925154320987654e-5 7.173037831353301e-6 0.10357946550901258 1573 0.00030343364197530867 1.499760108757395e-5 0.04942629627335242
